# school-programs.csv — starter programme database (45 long-standing programmes)
# CAUTION: tuition/deadline are APPROXIMATE list-price figures from Aug-2026 and change yearly.
# ALWAYS re-verify on official_url before using in an application. This is a hallucination-reduction
# seed list, not an authoritative database. Extend freely with verified rows.
# tracks: fineng | cs | ece | mech_robotics | ds | interdisciplinary | entrepreneur

track,country,university,program,official_url,duration,approx_annual_tuition_usd,typical_application_deadline,post_study_work_route,founder_relevance,last_verified
fineng,USA,Princeton,Master in Finance,https://bcf.princeton.edu/master-in-finance/,2yr,95000 (total~$190k),Dec 1,STEM OPT 3yr,Princeton entrepreneurship ecosystem; NYC finance proximity,2026-08
fineng,USA,CMU,Master of Computational Finance (MSCF),https://www.cmu.edu/mscf/,16mo,~105000 total,Jan 10,STEM OPT 3yr,Pittsburgh robotics+AI spillover,2026-08
fineng,USA,Columbia University,MFE (Financial Engineering),https://mfe.ieor.columbia.edu/,18mo,~85000/yr,Jan 5,STEM OPT 3yr,NYC fintech/VC density,2026-08
fineng,USA,UC Berkeley,MFE (Haas),https://mfe.haas.berkeley.edu/,1yr,~80000 total,Jan 12,STEM OPT 3yr,Bay Area; SkyDeck accelerator access,2026-08
fineng,USA,Baruch College CUNY,MFE,https://mfe.baruch.cuny.edu/,18mo,~45000 (in-state),Feb 1 (priority),STEM OPT 3yr,Lowest cost top MFE; NYC,2026-08
fineng,USA,NYU Courant,Math Finance (MSMF),https://math.nyu.edu/dynamic/masters/finmath/,2yr,~60000/yr,Dec 1 (priority),STEM OPT 3yr,NYC,2026-08
fineng,UK,Oxford,MSc Mathematical & Computational Finance,https://www.maths.ox.ac.uk/study-here/postgraduate-study/msc-mathematical-and-computational-finance,9mo,~70000 (GBP~55k),Jan,Graduate Route 2yr,Oxford Sciences Innovation deeptech VC,2026-08
fineng,UK,Imperial College,MSc Risk Management & Financial Engineering,https://www.imperial.ac.uk/business-school/,1yr,~57000 (GBP~45k),rolling Nov-Mar,Graduate Route 2yr,London fintech; Innovator Founder accessible,2026-08
fineng,Singapore,NUS,MSc Quantitative Finance,https://msqf.nus.edu.sg/,1yr (full),~41000 (SGD55k),Nov 15,Graduate LTVP,EntrePass route; Vertex/Temasek ecosystem,2026-08
fineng,HK,HKUST,MSc Financial Mathematics,https://fmath.hkust.edu.hk/,1yr,~27000 (HKD210k),Jan,IANG 2yr,HK 18C listing; family-office hub,2026-08
cs,USA,Stanford,MS Computer Science,https://cs.stanford.edu/academics/masters,2yr,~65000/yr,Dec 1,STEM OPT 3yr,StartX; YC feeder; core Silicon Valley,2026-08
cs,USA,CMU,MS Computer Science,https://csd.cmu.edu/academics/masters,16-20mo,~60000/yr,Dec 12,STEM OPT 3yr,CMU robotics spinoffs; NSF SBIR access,2026-08
cs,USA,UIUC,MCS / MS CS,https://cs.illinois.edu/academics/graduate,1.5-2yr,~50000 total,Dec 15,STEM OPT 3yr,Research heavy; low CoL,2026-08
cs,USA,Georgia Tech,MS CS (incl. OMSCS online),https://www.cc.gatech.edu/degree-programs/master-science-computer-science,1.5-2yr,~7000 total online,Feb 1,STEM OPT 3yr (on-campus),Lowest cost top brand; ATDC accelerator,2026-08
cs,UK,Cambridge,MPhil Advanced Computer Science,https://www.cst.cam.ac.uk/teaching/mphil,9-12mo,~51000 (GBP~40k),Dec 3,Graduate Route 2yr,Cambridge deeptech cluster,2026-08
